"Datetime","Temperature"
2060-06-15 00:00:00,18.778
2060-06-15 01:00:00,18.778
2060-06-15 02:00:00,18.778
2060-06-15 03:00:00,18.778
2060-06-15 04:00:00,18.778
2060-06-15 05:00:00,18.778
2060-06-15 06:00:00,18.778
2060-06-15 07:00:00,18.778
2060-06-15 08:00:00,18.778
2060-06-15 09:00:00,18.778
2060-06-15 10:00:00,18.778
2060-06-15 11:00:00,18.778
2060-06-15 12:00:00,18.778
2060-06-15 13:00:00,18.7908125
2060-06-15 14:00:00,18.803625
2060-06-15 15:00:00,18.8164375
2060-06-15 16:00:00,18.82925
2060-06-15 17:00:00,18.8420625
2060-06-15 18:00:00,18.854875
2060-06-15 19:00:00,18.8676875
2060-06-15 20:00:00,18.8805
2060-06-15 21:00:00,18.8933125
2060-06-15 22:00:00,18.906125
2060-06-15 23:00:00,18.9189375
2060-06-16 00:00:00,18.93175
2060-06-16 01:00:00,18.9445625
2060-06-16 02:00:00,18.957375
2060-06-16 03:00:00,18.9701875
2060-06-16 04:00:00,18.983
2060-06-16 05:00:00,18.9958125
2060-06-16 06:00:00,19.008625
2060-06-16 07:00:00,19.0214375
2060-06-16 08:00:00,19.03425
2060-06-16 09:00:00,19.0470625
2060-06-16 10:00:00,19.059875
2060-06-16 11:00:00,19.0726875
2060-06-16 12:00:00,19.0855
2060-06-16 13:00:00,19.0983125
2060-06-16 14:00:00,19.111125
2060-06-16 15:00:00,19.1239375
2060-06-16 16:00:00,19.13675
2060-06-16 17:00:00,19.1495625
2060-06-16 18:00:00,19.162375
2060-06-16 19:00:00,19.1751875
2060-06-16 20:00:00,19.188
2060-06-16 21:00:00,19.2008125
2060-06-16 22:00:00,19.213625
2060-06-16 23:00:00,19.2264375
2060-06-17 00:00:00,19.23925
2060-06-17 01:00:00,19.2520625
2060-06-17 02:00:00,19.264875
2060-06-17 03:00:00,19.2776875
2060-06-17 04:00:00,19.2905
2060-06-17 05:00:00,19.3033125
2060-06-17 06:00:00,19.316125
2060-06-17 07:00:00,19.3289375
2060-06-17 08:00:00,19.34175
2060-06-17 09:00:00,19.3545625
2060-06-17 10:00:00,19.367375
2060-06-17 11:00:00,19.3801875
2060-06-17 12:00:00,19.393
2060-06-17 13:00:00,19.399875
2060-06-17 14:00:00,19.40675
2060-06-17 15:00:00,19.413625
2060-06-17 16:00:00,19.4205
2060-06-17 17:00:00,19.427375
2060-06-17 18:00:00,19.43425
2060-06-17 19:00:00,19.441125
2060-06-17 20:00:00,19.448
2060-06-17 21:00:00,19.454875
2060-06-17 22:00:00,19.46175
2060-06-17 23:00:00,19.468625
2060-06-18 00:00:00,19.4755
2060-06-18 01:00:00,19.482375
2060-06-18 02:00:00,19.48925
2060-06-18 03:00:00,19.496125
2060-06-18 04:00:00,19.503
2060-06-18 05:00:00,19.509875
2060-06-18 06:00:00,19.51675
2060-06-18 07:00:00,19.523625
2060-06-18 08:00:00,19.5305
2060-06-18 09:00:00,19.537375
2060-06-18 10:00:00,19.54425
2060-06-18 11:00:00,19.551125
2060-06-18 12:00:00,19.558
2060-06-18 13:00:00,19.564875
2060-06-18 14:00:00,19.57175
2060-06-18 15:00:00,19.578625
2060-06-18 16:00:00,19.5855
2060-06-18 17:00:00,19.592375
2060-06-18 18:00:00,19.59925
2060-06-18 19:00:00,19.606125
2060-06-18 20:00:00,19.613
2060-06-18 21:00:00,19.619875
2060-06-18 22:00:00,19.62675
2060-06-18 23:00:00,19.633625
2060-06-19 00:00:00,19.6405
2060-06-19 01:00:00,19.647375
2060-06-19 02:00:00,19.65425
2060-06-19 03:00:00,19.661125
2060-06-19 04:00:00,19.668
2060-06-19 05:00:00,19.674875
2060-06-19 06:00:00,19.68175
2060-06-19 07:00:00,19.688625
2060-06-19 08:00:00,19.6955
2060-06-19 09:00:00,19.702375
2060-06-19 10:00:00,19.70925
2060-06-19 11:00:00,19.716125
2060-06-19 12:00:00,19.723
2060-06-19 13:00:00,19.7152916666667
2060-06-19 14:00:00,19.7075833333333
2060-06-19 15:00:00,19.699875
2060-06-19 16:00:00,19.6921666666667
2060-06-19 17:00:00,19.6844583333333
2060-06-19 18:00:00,19.67675
2060-06-19 19:00:00,19.6690416666667
2060-06-19 20:00:00,19.6613333333333
2060-06-19 21:00:00,19.653625
2060-06-19 22:00:00,19.6459166666667
2060-06-19 23:00:00,19.6382083333333
2060-06-20 00:00:00,19.6305
2060-06-20 01:00:00,19.6227916666667
2060-06-20 02:00:00,19.6150833333333
2060-06-20 03:00:00,19.607375
2060-06-20 04:00:00,19.5996666666667
2060-06-20 05:00:00,19.5919583333333
2060-06-20 06:00:00,19.58425
2060-06-20 07:00:00,19.5765416666667
2060-06-20 08:00:00,19.5688333333333
2060-06-20 09:00:00,19.561125
2060-06-20 10:00:00,19.5534166666667
2060-06-20 11:00:00,19.5457083333333
2060-06-20 12:00:00,19.538
2060-06-20 13:00:00,19.5302916666667
2060-06-20 14:00:00,19.5225833333333
2060-06-20 15:00:00,19.514875
2060-06-20 16:00:00,19.5071666666667
2060-06-20 17:00:00,19.4994583333333
